block,ripple_amp,ripple_freq,E_phi_mean,E_zonal_mean,E_turb_mean,Ez_over_Et,tau_E_proxy
amp_freq8,0.0,8,6992.078365207925,715.4831034306352,12647.572913651507,0.0565707830518501,43700.4897822764
amp_freq8,0.01,8,6992.078389892503,715.4831033868375,12647.572912717307,0.0565707830525657,43700.48993655501
amp_freq8,0.03,8,6992.078406398576,715.483102951532,12647.572900259283,0.0565707830738705,43700.49003971795
amp_freq8,0.05,8,6992.0783792231305,715.4831020531013,12647.572873684783,0.0565707831216986,43700.489869871424
amp_freq8,0.1,8,6992.078119163492,715.4830977635734,12647.572744859735,0.0565707833587564,43700.48824449869
amp_freq8,0.2,8,6992.076738878655,715.4830800250603,12647.572205927978,0.056570784366798,43700.479617718454
amp_freq8,0.4,8,6992.070922048924,715.4830105964844,12647.570068791356,0.0565707884364271,43700.44326253264
freq_check,0.1,4,6992.078009678927,715.483100163951,12647.57282079929,0.0565707832088793,43700.48756022016
freq_check,0.1,16,6992.078517650944,715.4831059835465,12647.572958802764,0.0565707830517448,43700.49073504526
